team, 1, (10, 44, 12) 
team, 1, (10, 46, 16) 
team, 1, (10, 46, 33) 
team, 1, (10, 52, 14) 
team, 1, (10, 55, 28) 
team, 1, (10, 55, 36) 
team, 1, (10, 59, 46) 
team, 1, (11, 3, 10) 
team, 1, (11, 3, 43) 
team, 1, (11, 4, 11) 
team, 1, (11, 4, 18) 
team, 1, (11, 7, 47) 
team, 1, (11, 7, 50) 
team, 1, (11, 8, 4) 
team, 1, (11, 8, 7) 
team, 1, (11, 10, 16) 
team, 1, (11, 10, 19) 
t1, 1, (11, 17, 3) 
team, 1, (13, 33, 30) 
team, 1, (13, 49, 38) 
team, 1, (13, 50, 23) 
t1, 1, (13, 52, 1) 
t2, 1, (13, 54, 1) 
t2, 1, (13, 55, 2) 
t2, 1, (13, 55, 43) 
t2, 1, (13, 59, 53) 
t2, 1, (14, 0, 1) 
t2, 1, (14, 0, 8) 
t2, 1, (14, 0, 14) 
t3, 1, (14, 2, 7) 
